MFD,Ratio,HCO3,Ca,Mg,TDS,pH,Precipitation
7-Jul-22,5.61,439.2,1.6,0.54,374.3,7.8,0
8-Jul-22,3.09,457.5,1.6,0.96,381.35,7.64,0
12-Jul-22,4.9,452.93,1,0.54,381.65,7.87,0
13-Jul-22,9.28,448.35,0.4,0.42,376.5,7.71,0
14-Jul-22,4.63,445.3,0.6,0.48,373.35,7.78,0
15-Jul-22,4.34,445.3,1,0.48,373.5,7.76,0
18-Jul-22,9.23,460.55,1.2,0.66,382.6,8,0
21-Jul-22,3.5,445.3,1.6,0,372.7,7.7,0
22-Jul-22,4.18,442.25,1.6,0.54,373.55,7.7,0
23-Jul-22,6.75,436.15,1,0.48,368.1,7.76,1
27-Jul-22,3.34,445.3,1,0.48,376.25,7.86,0
4-Aug-22,4.86,439.2,0.8,0.36,371.8,7.89,0
5-Aug-22,5.35,439.2,1.6,0.6,372.5,7.84,0
8-Aug-22,1.68,449.88,0.8,0.48,378.55,7.91,0
9-Aug-22,4.79,445.3,0.8,0.24,378.85,7.91,0
10-Aug-22,3.89,439.2,0.8,0.24,374.35,7.86,0
11-Aug-22,7.22,451.4,0.8,0.36,381.4,7.91,0
15-Aug-22,2.31,445.3,0.6,0.36,205.65,7.9,0
16-Aug-22,1.39,445.3,0.6,0.36,374.2,7.71,0
17-Aug-22,2.84,437.68,0.6,0.36,371.4,7.7,0
18-Aug-22,2.33,437.68,1.4,0.84,366.45,7.64,0
19-Aug-22,1.38,439.2,1.3,0.78,372.95,7.73,0
20-Aug-22,0,442.25,1.79,0.84,372.75,7.66,0
24-Aug-22,1.43,451.4,1,0.48,380,7.93,0
29-Aug-22,3.75,448.35,1.6,0.9,378.7,8,0
30-Aug-22,0.8,439.2,1.89,01.01,375.8,7.92,1
31-Aug-22,6.18,434.63,0.8,0.36,370.3,7.9,1
6-Sep-22,5.59,451.4,1.81,0.96,387,7.97,0
7-Sep-22,6.61,434.63,0.6,0.36,369.4,7.82,0
8-Sep-22,8.75,433.1,0.4,0.36,370.2,7.83,0
9-Sep-22,10.26,439.2,1.01,0.48,371.2,7.69,0
10-Sep-22,8.8,448.35,0.6,0.36,378,7.82,0
13-Sep-22,8.05,451.4,0.81,0.36,387.3,7.8,1
14-Sep-22,7.57,439.2,0.81,0.36,371.65,7.72,0
15-Sep-22,4.46,427,1.21,0.72,369,7.54,0
16-Sep-22,5.3,434.63,1.01,0.54,374.15,7.63,0
17-Sep-22,4.53,445.3,2.01,1.21,378.35,7.71,0
20-Sep-22,4.65,451.4,0.81,0.36,379,7.92,1
21-Sep-22,4.61,451.4,0.81,0.24,379.4,7.95,0
23-Sep-22,4.98,436.15,1.51,0.78,367.85,7.91,0
24-Sep-22,0.47,448.35,0.81,0.48,375.3,7.81,1
27-Sep-22,3.93,448.35,1.21,0.72,378.4,7.88,1
29-Sep-22,1.24,439.2,0.6,0.48,375.5,7.72,0
30-Sep-22,3.51,442.25,1.01,0.6,372.3,7.71,0
1-Oct-22,3.58,446.83,1,0.48,375.4,7.6,0
5-Oct-22,1.48,445.3,0.6,0.36,371.3,7.87,1
6-Oct-22,1.26,439.2,1.71,0.66,371.65,7.88,0
7-Oct-22,2.65,440.73,1.2,0.48,371.4,7.78,0
18-Oct-22,2.99,451.4,0.8,0.48,378.5,7.94,1
19-Oct-22,1.75,454.45,0.6,0.48,381,7.92,1
20-Oct-22,3.53,445.3,0.7,0.42,374.2,7.81,0
21-Oct-22,3.46,439.2,1,0.36,371.4,7.77,1
22-Oct-22,3.64,448.35,1.2,0.6,376.5,7.56,0
25-Oct-22,3.34,440.73,1.2,0.48,371.4,7.68,0
27-Oct-22,6.03,449.88,0.8,0.48,376.5,7.7,0
1-Nov-22,5.1,433.1,1.2,0.6,370.4,7.67,0
2-Nov-22,4.8,445.3,2,1.08,373.8,7.8,0
4-Nov-22,4.47,442.25,0.8,0.36,371.35,7.8,0
10-Nov-22,4.67,439.2,1.21,0.48,369.9,7.52,1
11-Nov-22,3.34,434.63,1.01,0.48,370.5,7.72,1
14-Nov-22,0,439.2,1.21,0.6,371,7.68,0
15-Nov-22,0,433.1,1.01,0.48,370,7.71,0
16-Nov-22,6.24,445.3,1.21,0.48,378.95,7.94,0
17-Nov-22,2.3,433.1,1.61,0.6,369.4,7.87,0
18-Nov-22,4.35,442.25,0.91,0.42,373.6,7.81,0
22-Nov-22,3.02,427,2,1.38,371.35,8,1
23-Nov-22,2.4,446.83,1,0.6,381.3,7.99,0
24-Nov-22,2.39,451.4,0.9,0.42,380.3,8,1
25-Nov-22,2.54,446.83,1.2,0.78,378.35,7.98,1
29-Nov-22,2.99,451.4,0.8,0.48,378.7,8.04,1
30-Nov-22,3.27,449.88,0.8,0.36,376.15,7.92,0
1-Dec-22,2.85,448.35,1.1,0.54,378.1,7.92,0
6-Dec-22,3.5,451.4,1,0.48,380.6,7.98,0
7-Dec-22,3.21,448.35,1.2,0.6,381.4,7.93,0
8-Dec-22,2.51,451.4,0.9,0.36,378.55,7.87,0
9-Dec-22,0.84,448.35,1.2,0.48,377,7.98,1
10-Dec-22,4.8,452.93,1.4,0.84,380.2,7.92,0
11-Dec-22,0,448.35,1.2,0.72,383,8,0
12-Dec-22,0,433.1,1.6,0.6,369.1,7.69,0
13-Dec-22,2.94,448.35,0.6,0.48,383,8,0
16-Dec-22,1.74,445.3,1.99,01.07,375.1,7.9,1
17-Dec-22,1.63,439.2,1.2,0.72,374.3,7.91,0
21-Dec-22,2.97,431.58,1.2,0.48,368.5,7.72,0
23-Dec-22,2.25,446.83,1,0.48,376.7,7.75,1
24-Dec-22,3.52,448.35,0.8,0.36,381.2,7.91,0
26-Dec-22,3.56,452.93,1.2,0.72,383.65,8.07,1
27-Dec-22,3.16,452.93,1.4,0.72,380.2,7.82,0
4-Jan-23,3.06,433.1,1.2,0.72,383.65,8.07,0
5-Jan-23,6.79,433.1,0.8,0.48,369.8,7.89,0
6-Jan-23,4.82,439.2,0.8,0.48,371.9,7.91,1
7-Jan-23,2.55,439.2,0.9,0.54,373.95,7.91,0
9-Jan-23,2.3,451.4,0.8,0.48,384.25,7.94,0
10-Jan-23,5.68,445.3,0.6,0.48,374.75,7.75,0
12-Jan-23,2.52,448.35,0.8,0.48,378.7,7.83,0
13-Jan-23,2.35,437.68,1.5,0.96,370,7.54,0
17-Jan-23,5,439.2,1.1,0.54,374.8,7.9,0
18-Jan-23,1.81,427,1.3,0.54,369.95,7.85,0
27-Jan-23,2.37,445.3,1.4,0.6,375.4,7.98,1
28-Jan-23,1.56,442.25,1.2,0.84,378.2,7.95,1
30-Jan-23,3.39,427,1.6,0.84,362.4,8,1
31-Jan-23,2.79,427,1.2,0.84,362.6,7.98,0
1-Feb-23,4.86,433.1,1,0.66,370.3,7.84,0
3-Feb-23,5.31,440.73,1.2,0.72,369.9,7.8,0
4-Feb-23,4.43,445.3,1,0.6,375.6,7.81,0
7-Feb-23,4.82,445.3,1,0.6,373.55,7.8,0
8-Feb-23,3.89,433.1,1.1,0.66,369.25,7.98,0
9-Feb-23,4.77,433.1,1,0.48,367.65,8,0
14-Feb-23,5.21,448.35,1.2,0.9,377.5,7.94,0
15-Feb-23,4.72,449.88,1,0.6,377.9,7.95,0
16-Feb-23,2.23,448.35,1.3,0.66,377.05,7.92,0
17-Feb-23,5.65,451.4,1,0.6,377.4,7.91,0
18-Feb-23,6.2,457.5,1.1,0.66,382.2,7.87,0
21-Feb-23,5.29,431.58,0.9,0.42,368.1,7.83,0
22-Feb-23,4.15,427,1,0.6,364.5,7.95,0
23-Feb-23,5.61,436.15,1,0.6,369.6,7.76,0
25-Feb-23,5.38,445.3,1.1,0.54,372.55,7.82,1
28-Feb-23,5.61,439.2,0.8,0.48,370.5,7.8,0
1-Mar-23,7.56,436.15,0.8,0.48,368,7.8,0
3-Mar-23,4.6,448.35,1,0.6,378,7.85,0
4-Mar-23,4.86,445.3,1.5,0.66,374.05,7.81,1
7-Mar-23,5.68,443.78,0.8,0.6,372.3,7.97,0
8-Mar-23,2.55,448.35,0.8,0.48,378.2,7.97,0
10-Mar-23,2.53,454.45,1.4,0.84,380.4,7.8,0
14-Mar-23,3.42,448.35,2.39,0.96,376.4,7.84,1
15-Mar-23,2.39,448.35,1.2,0.54,373.7,7.93,1
16-Mar-23,2.69,445.3,0.8,0.42,373.4,7.9,0
17-Mar-23,5.08,445.3,1.6,0.48,373.45,7.85,0
22-Mar-23,2.58,445.3,0.8,0.72,374.4,7.92,0
23-Mar-23,3.75,454.45,1.4,0,376.75,7.85,0
25-Mar-23,4.99,433.1,0.8,0.48,367.55,7.61,0
28-Mar-23,2.55,451.4,1.3,0.78,381.6,7.31,0
29-Mar-23,3.55,365,1,0.48,370.25,7.67,0
3-Apr-23,0,437.68,1.3,0.66,368.75,7.83,0
4-Apr-23,4.33,440.73,1,0.54,368.95,7.66,1
5-Apr-23,6.46,449.88,1.2,0.54,372.65,7.81,1
6-Apr-23,3.48,434.63,1.3,0.54,365.3,7.81,0
7-Apr-23,2.86,431.58,0.8,0.36,374.55,7.89,0
8-Apr-23,5.71,440.73,1.4,0.72,366.6,7.71,0
12-Apr-23,3.24,439.2,1.2,0,365.8,7.93,0
13-Apr-23,3.11,448.35,1.6,0.84,371.5,7.81,0
14-Apr-23,3.06,451.4,1.2,0.72,374.7,7.79,0
15-Apr-23,4.17,451.4,1.1,0.54,378.65,7.83,0
18-Apr-23,3.6,455.98,1,0.48,380.3,7.87,0
19-Apr-23,3.3,460.55,1.2,0.84,379.25,7.81,1
20-Apr-23,2.32,454.45,1.3,0,380.1,7.79,0
21-Apr-23,2.46,448.35,1.2,0.72,376.5,7.46,0
24-Apr-23,1.99,457.5,1.4,0.6,382.45,7.6,0
25-Apr-23,2.1,451.4,1.6,0.96,379.75,7.74,1
26-Apr-23,3.94,445.3,1.1,0.66,373.7,7.72,1
28-Apr-23,0,443.78,1.6,1.08,372.6,7.73,0
4-May-23,2.16,445.3,1.2,0.72,369.4,7.74,1
8-May-23,2.41,451.4,1.8,1.02,382,7.85,0
10-May-23,1.97,451.4,1.2,0.72,376.85,7.55,0
11-May-23,3.27,445.3,1.2,0,374.7,7.47,0
13-May-23,2.92,457.5,1.5,0.78,382.35,7.7,0
15-May-23,1.55,454.45,1.4,0.72,380.45,7.7,0
16-May-23,1.93,452.93,1.2,0.72,380.85,7.76,0
17-May-23,2.14,449.88,1.2,0.72,379.7,7.75,0
23-May-23,1.78,448.35,1.4,0.84,378.3,7.87,1
24-May-23,3.32,440.73,1.2,0.72,373.7,7.8,0
25-May-23,0,445.3,1.2,0,374,7.81,0
26-May-23,0,454.45,2.2,1.08,379.45,7.77,0
29-May-23,3.25,445.3,0.8,0.36,373.6,7.76,1
1-Jun-23,2.02,446.83,1,0.42,373.3,7.95,0
2-Jun-23,1.91,446.83,1.2,0.36,372.1,7.78,1
6-Jun-23,2.37,451.4,1.2,0.72,380.1,7.75,1
7-Jun-23,2.03,448.35,1.2,0.6,377,7.64,0
8-Jun-23,2.55,451.4,2,1.08,383.2,7.65,0
9-Jun-23,2.27,451.4,0.8,0.6,380.5,7.53,0
13-Jun-23,2.56,445.3,0.8,0.48,380.2,8,0
14-Jun-23,3.04,445.3,1.2,0.36,381.4,7.85,1
15-Jun-23,1.75,445.3,1.1,0.66,377,7.83,0
16-Jun-23,3.83,445.3,1,0.48,377.1,7.79,0
21-Jun-23,1.14,452.93,1.2,0.72,380,7.55,1
23-Jun-23,1.94,451.4,1.1,0.54,378.65,7.81,0
24-Jun-23,4.04,445.3,0.8,0.54,372.6,7.62,0
27-Jun-23,1.7,448.35,1.2,0.72,375.2,7.8,0
28-Jun-23,1.78,442.25,1.1,0.84,371.6,7.83,1
29-Jun-23,2.99,452.93,1.6,0.78,376.55,7.64,1
30-Jun-23,1.58,454.45,1.2,0.48,374.4,7.7,0
5-Jul-23,1.7,454.45,0.8,0.48,376.3,7.78,0
6-Jul-23,1.66,448.35,1,0.6,376.3,7.78,0
7-Jul-23,2.52,439.2,1,0.36,368.25,7.81,1
11-Jul-23,2,439.2,1.2,0,367,7.91,0
14-Jul-23,3,440.73,1.3,0.78,370.4,7.81,0
18-Jul-23,1.65,454.45,1.2,0.72,377.3,8,0
19-Jul-23,1.75,445.3,1.2,0,372.15,7.71,0
20-Jul-23,1.53,449.88,1.1,0.54,374,7.64,1
21-Jul-23,2.87,454.45,1,0.6,373.4,7.86,0
25-Jul-23,3.28,462.08,1.3,0.78,383.6,7.91,1
26-Jul-23,2.21,434.63,1.2,0.84,367.85,7.64,0
27-Jul-23,2.49,433.1,1.5,0.78,367,7.72,1
2-Aug-23,1.98,451.4,0.5,0.3,374.4,7.84,0
3-Aug-23,2.2,448.35,1,0.42,374.4,7.93,0
4-Aug-23,2.75,460.55,0.81,0.48,380.5,7.91,0
5-Aug-23,3.59,459.03,1.4,0.6,376.4,7.86,0
9-Aug-23,1.88,451.4,1.81,1.09,375.45,7.74,0
10-Aug-23,3,439.2,1.61,0.96,363.75,7.42,1
11-Aug-23,2.98,439.2,1.21,0.72,367.45,7.81,1
12-Aug-23,3.65,439.2,1.01,0.48,369.75,7.56,1
16-Aug-23,1.95,436.15,0.81,0.48,366.4,7.92,0
18-Aug-23,3.65,439.2,1,0.48,374.8,7.73,0
21-Aug-23,0,436.15,0.8,0.36,366.4,7.92,0
22-Aug-23,1.34,463.6,0.8,0.36,391.6,7.83,0
23-Aug-23,2.69,433.1,0.84,0.78,367.5,7.63,0
24-Aug-23,1.83,437.68,1.2,0.48,370.4,7.53,0
25-Aug-23,0,423.95,0.7,0.42,363.6,7.44,0
28-Aug-23,1.25,448.35,2.1,1.38,374.7,7.73,1
30-Aug-23,1.89,437.68,1.2,0.6,373.4,7.81,0
5-Sep-23,2.37,454.45,2,0.72,379.2,7.94,0
8-Sep-23,3.51,454.45,1,0.42,374.65,7.71,1
9-Sep-23,4.04,452.93,1,0.36,377.55,7.56,0
13-Sep-23,2.16,457.5,1.2,0,375.5,7.91,0
15-Sep-23,3.89,457.5,1.2,0,377.7,7.63,0
16-Sep-23,0,454.45,2,0,373.2,7.55,0
20-Sep-23,3.4,433.1,1.4,0.6,366,7.66,0
21-Sep-23,3.36,451.4,1.8,0.6,376.8,7.65,0
27-Sep-23,3.36,452.93,0.9,0.42,375.35,7.83,0
28-Sep-23,2.91,457.5,1.2,0.6,377.6,7.74,0
4-Oct-23,2.33,457.5,1.4,0.84,378.7,7.84,0
6-Oct-23,0,457.5,0.8,0.36,378.6,7.79,0
7-Oct-23,1.9,443.78,1.2,0.72,371,7.8,0
11-Oct-23,3.31,460.55,1,0.48,376.5,7.85,0
12-Oct-23,1.69,457.5,0.6,0.36,376.7,7.83,1
14-Oct-23,2.77,457.5,0.8,0.48,373.35,7.9,1
18-Oct-23,2.84,451.4,1.8,0.72,376.55,7.6,0
19-Oct-23,2.44,457.5,1.8,0.84,383.8,7.55,1
21-Oct-23,2.9,445.3,1.2,0,373,7.57,0
24-Oct-23,2.08,455.98,0.8,0.42,384.5,7.88,1
26-Oct-23,0,457.5,1.4,0.84,378.85,7.6,0
27-Oct-23,2.28,449.88,2.2,1.56,378.85,7.6,1
30-Oct-23,2.48,448.35,1.6,0.9,373.25,7.85,0
2-Nov-23,2.09,439.2,0.8,0.42,368.8,7.5,0
3-Nov-23,4.83,448.35,0.8,0.48,373.1,7.77,0
8-Nov-23,3.45,460.55,0.7,0.3,382.8,7.58,0
13-Nov-23,0,462.08,0.7,0.3,373.25,7.85,0
14-Nov-23,5.24,454.45,0.8,0.36,376.35,7.75,0
15-Nov-23,4.45,457.5,0.8,0.36,381.25,7.78,0
16-Nov-23,4.59,455.98,0.8,0.36,381.75,7.57,0
17-Nov-23,4.27,457.5,1.2,0.72,383.05,7.5,0
22-Nov-23,4.21,449.88,0.9,0.42,380.45,7.79,0
28-Nov-23,3.84,459.03,0.8,0.36,380.1,7.78,0
29-Nov-23,4.78,451.4,1.4,0.84,369.2,7.5,0
